UTC Date & Time,Voyage No.,Instructed Speed,CP Fuel Cons. limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME FO Consumption,Total FO Consumption,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
28-Aug-21,1B,11,32,SS,21.8,11.2,7.22,4,28.5,31.99,31.38,35.22
29-Aug-21,1B,11,32,SS,24,10.9,11.22,4,32.2,36.61,32.2,36.61
30-Aug-21,1B,11,32,SS,24,11.1,9.83,4,32.6,36.82,32.6,36.82
30-Aug-21,1B,11,32,SS,10,11,9.09,4,15.2,17.53,36.48,42.07
17-Sep-21,02B,11,32,SS,11.4,10,18.57,4,16.15,17.82,34,37.52
18-Sep-21,02B,11,32,SS,24,10.79,12.5,4,31.7,35.93,31.7,35.93
19-Sep-21,02B,11,32,SS,24,11.25,9.09,4,31.24,35.04,31.24,35.04
20-Sep-21,02B,11,32,SS,24,11.5,7.07,4,31.97,35,31.97,35
21-Sep-21,02B,11,32,SS,24,12.04,4.62,4,31.21,35.01,31.21,35.01
22-Sep-21,02B,11,32,SS,24,11.29,10.86,4,31.29,35.52,31.29,35.52
23-Sep-21,02B,11,32,SS,24,10.79,13.95,4,31.71,35.07,31.71,35.07
23-Sep-21,02B,11,32,SS,11.6,11.47,10.14,4,16.43,18.36,33.99,37.99
26-Sep-21,02B,11,32,SS,3.4,11.47,13.33,4,4.96,5.7,35.01,40.24
27-Sep-21,02B,11,32,SS,24,10.38,28.45,4,32.1,35.1,32.1,35.1
28-Sep-21,02B,11,32,SS,24,10.33,28.32,4,31.06,35.06,31.06,35.06
29-Sep-21,02B,11,32,SS,24,10.21,29.8,4,31.1,35,31.1,35
30-Sep-21,02B,11,32,SS,24,9.96,31.71,4,31.12,35.06,31.12,35.06
1-Oct-21,02B,11,32,SS,24,9.63,34,4,31.13,35,31.13,35
2-Oct-21,02B,11,32,SS,24,10.33,29.94,4,31.08,35.02,31.08,35.02
3-Oct-21,02B,11,32,SS,24,9.92,32,4,31.15,35.05,31.15,35.05
3-Oct-21,02B,11,32,SS,11.7,20.34,-40,4,17.06,19.09,34.99,39.16
6-Oct-21,03B,11,32,SS,18.8,11.28,20,4,26.63,29.03,34,37.06
7-Oct-21,03B,11,32,SS,24,11.5,21.14,3,31.26,35.5,31.26,35.5
8-Oct-21,03B,11,32,SS,25,11.6,20.77,3,32.56,36.92,31.26,35.44
9-Oct-21,03B,11,32,SS,23.3,11.93,19.65,3,30.9,36.01,31.83,37.09
6-Nov-21,04B,11,32,SS,17.4,11.72,6.85,3,24.1,25.55,33.24,35.24
6-Nov-21,04B,11,32,SS,7.5,12.8,,3,10.62,11.25,33.98,36
