UTC Date & Time,TOTAL FO Consumption / 24 hrs
9/2/2021,40.4
9/3/2021,36.41
9/4/2021,36.79
9/5/2021,36.8
9/6/2021,36.56
9/7/2021,36.85
9/8/2021,36.15
9/9/2021,36.52
9/10/2021,37.45
9/26/2021,40.24
9/27/2021,35.1
9/28/2021,35.06
9/29/2021,35
9/30/2021,35.06
10/1/2021,35
10/2/2021,35.02
10/3/2021,35.05
10/3/2021,39.16
10/15/2021,39.83
10/16/2021,35.98
10/17/2021,35.93
10/18/2021,36.8
10/19/2021,36.1
10/20/2021,36.13
10/21/2021,37.75
10/22/2021,36.06
10/23/2021,40.05
11/8/2021,35.34
11/9/2021,35.56
11/10/2021,35.78
11/11/2021,35.66
11/12/2021,35.75
11/14/2021,35.53
11/15/2021,36.68
11/27/2021,33.26
11/27/2021,38.76
11/29/2021,44.21
12/1/2021,37.33
12/3/2021,35.57
12/4/2021,35.4
12/5/2021,36.19
12/6/2021,35.48
12/7/2021,35.68
12/8/2021,35.54
12/10/2021,35.55
12/11/2021,35.44
12/11/2021,61.92
12/28/2021,34.8
12/29/2021,35
12/30/2021,35.04
12/31/2021,35.08
1/1/2022,35.2
1/1/2022,33.79
1/3/2022,31.97
1/4/2022,35.25
1/5/2022,35.3
1/5/2022,42.4
1/23/2022,32.3
1/24/2022,34.85
1/25/2022,35
1/26/2022,34.9
1/27/2022,34.85
1/27/2022,34.07
1/28/2022,31.79
1/29/2022,34.9
1/30/2022,35
1/31/2022,34.56
2/17/2022,30.71
2/17/2022,37.17
2/19/2022,36
2/20/2022,35
2/21/2022,35
2/22/2022,35.08
2/23/2022,34.02
2/24/2022,35
2/25/2022,34.93
2/26/2022,35.2
3/2/2022,33.2
3/3/2022,36.4
3/3/2022,11.77
3/16/2022,36.4
3/17/2022,11.77
3/18/2022,34.8
3/21/2022,35
3/22/2022,34.8
3/23/2022,35
3/24/2022,35
3/24/2022,35
4/16/2022,35.37
4/17/2022,37.9
4/18/2022,38.3
4/19/2022,38.5
4/20/2022,38.27
4/21/2022,38.88
4/22/2022,39.3
4/23/2022,39.1
4/24/2022,38.9
4/25/2022,39.44
4/26/2022,37.7
4/27/2022,39.44
4/27/2022,38.4
4/29/2022,40.8
4/30/2022,38.9
5/1/2022,38.2
5/2/2022,35.7
5/3/2022,29.9
5/4/2022,24.5
5/5/2022,29.2
5/6/2022,29
5/7/2022,28.5
5/8/2022,26.4
5/9/2022,28.5
5/10/2022,29.8
5/11/2022,25.4
5/12/2022,29.2
5/12/2022,24.6
5/17/2022,35.24
5/18/2022,39.2
8/1/2022,34.3
8/2/2022,33.4
8/3/2022,33.5
8/4/2022,32.4
8/5/2022,31.8
8/6/2022,31.8
8/7/2022,31.7
8/8/2022,31.9
8/9/2022,34.4
8/10/2022,32.4
8/11/2022,31.8
8/12/2022,31.3
8/13/2022,31
8/14/2022,31.1
8/15/2022,30.5
8/16/2022,31.6
8/17/2022,32
8/18/2022,31.7
8/19/2022,27.62
8/20/2022,30.9
8/21/2022,31.4
8/22/2022,31.2
9/6/2022,33.6
9/7/2022,31.3
9/8/2022,32
9/9/2022,31.8
9/10/2022,31.2
9/11/2022,31.3
9/12/2022,33.1
9/13/2022,31.6
9/13/2022,31.4
10/5/2022,33.71
10/6/2022,31.9
10/7/2022,31.7
10/8/2022,31.2
10/9/2022,31.2
10/10/2022,32.3
10/11/2022,31.5
10/12/2022,31.62
10/26/2022,31.85
10/27/2022,31.1
10/28/2022,31.6
10/29/2022,30.9
10/30/2022,31.3
