UTC Date & Time,CP Fuel Cons. limit
2021-08-28,32
2021-08-29,32
2021-08-30,32
2021-08-30,32
2021-09-17,32
2021-09-18,32
2021-09-19,32
2021-09-20,32
2021-09-21,32
2021-09-22,32
2021-09-23,32
2021-09-23,32
2021-09-26,32
2021-09-27,32
2021-09-28,32
2021-09-29,32
2021-09-30,32
2021-10-01,32
2021-10-02,32
2021-10-03,32
2021-10-03,32
2021-10-06,32
2021-10-07,32
2021-10-08,32
2021-10-09,32
2021-11-06,32
2021-11-06,32
2021-12-24,32
2021-12-24,32
2022-01-11,32
2022-01-12,32
2022-01-13,32
2022-01-14,32
2022-01-15,32
2022-01-16,32
2022-01-17,32
2022-01-18,32
2022-01-19,32
2022-02-05,32
2022-02-06,32
2022-02-07,32
2022-02-08,32
2022-02-09,32
2022-03-10,32
2022-03-11,32
2022-03-11,32
2022-03-30,32
2022-03-31,32
2022-04-01,32
2022-04-02,32
2022-05-23,32
2022-05-24,32
2022-05-25,32
2022-05-25,32
2022-07-23,32
2022-07-24,32
2022-07-24,32
2022-07-26,32
2022-07-26,32
