UTC Date & Time,FW production /24 
9/2/2021,12
9/3/2021,16.6
9/4/2021,17.4
9/5/2021,17.7
9/6/2021,17.9
9/7/2021,18.1
9/8/2021,18.2
9/9/2021,5.5
9/10/2021,0
10/15/2021,0
10/16/2021,0
10/17/2021,0
10/18/2021,0
10/19/2021,0
10/20/2021,0
10/21/2021,0
10/22/2021,0
10/23/2021,0
10/24/2021,0
10/25/2021,24.7
10/26/2021,25.3
10/27/2021,24.71
10/27/2021,23
11/8/2021,22.4
11/9/2021,5.95
11/10/2021,24.9
11/11/2021,28.44
11/12/2021,0
11/13/2021,25
11/14/2021,6
11/15/2021,0
11/18/2021,0
11/19/2021,18.8
11/20/2021,28.91
11/21/2021,0
11/27/2021,0
11/27/2021,33.73
11/29/2021,25.25
11/30/2021,26
12/1/2021,22
12/2/2021,10.21
12/3/2021,25.5
12/4/2021,25.8
12/5/2021,22.7
12/6/2021,0
12/7/2021,14.1
12/8/2021,0
12/9/2021,32.31
12/10/2021,24.8
12/11/2021,22.6
12/11/2021,7.6
12/28/2021,0
12/29/2021,0
12/30/2021,0
12/31/2021,0
1/1/2022,
1/1/2022,0
1/3/2022,27.4
1/4/2022,0
1/5/2022,16
1/5/2022,0
1/23/2022,11
1/24/2022,31.65
1/25/2022,0
1/26/2022,26
1/27/2022,12
1/27/2022,22.8
1/28/2022,0
1/29/2022,0
1/30/2022,31.38
1/31/2022,20
2/17/2022,15
2/17/2022,16
2/19/2022,26.09
2/20/2022,0
2/21/2022,0
2/22/2022,21
2/23/2022,23
2/24/2022,21
2/25/2022,0
2/26/2022,22
2/27/2022,0
2/28/2022,0
3/1/2022,16
3/2/2022,0
3/3/2022,0
3/3/2022,29
3/16/2022,27
3/17/2022,30.32
3/18/2022,9
3/19/2022,18
3/20/2022,24
3/21/2022,25.26
3/22/2022,26.4
3/23/2022,22
3/24/2022,20
3/24/2022,20
4/16/2022,0
4/17/2022,0
4/18/2022,0
4/19/2022,0
4/20/2022,0
4/21/2022,0
4/22/2022,10
4/23/2022,24
4/24/2022,20
4/25/2022,20
4/26/2022,20
4/27/2022,22
4/27/2022,20
4/29/2022,11
4/30/2022,18
5/1/2022,0
5/2/2022,0
5/3/2022,0
5/4/2022,0
5/5/2022,0
5/6/2022,0
5/7/2022,0
5/8/2022,0
5/9/2022,0
5/10/2022,0
5/11/2022,0
5/12/2022,0
5/12/2022,0
5/17/2022,0
5/18/2022,0
8/1/2022,0
8/2/2022,12
8/3/2022,0
8/4/2022,0
8/5/2022,5
8/6/2022,20
8/7/2022,20
8/8/2022,18
8/9/2022,20
8/10/2022,20
8/11/2022,20
8/12/2022,20
8/13/2022,20
8/14/2022,17
8/15/2022,20
8/16/2022,18
8/17/2022,17
8/18/2022,20
8/19/2022,19.59
8/20/2022,0
8/21/2022,0
8/22/2022,0
9/6/2022,0
9/7/2022,20
9/8/2022,20
9/9/2022,20
