UTC Date & Time,Slip (%)
9/17/2021,7.22
9/18/2021,11.22
9/19/2021,9.83
9/20/2021,9.09
9/21/2021,18.57
9/22/2021,12.5
9/23/2021,9.09
9/23/2021,7.07
9/26/2021,4.62
9/27/2021,10.86
9/28/2021,13.95
9/29/2021,10.14
9/30/2021,20
10/1/2021,21.14
10/2/2021,20.77
10/3/2021,19.65
10/3/2021,6.85
10/6/2021,8.09
10/7/2021,9.06
10/8/2021,10.91
10/9/2021,10.56
11/6/2021,10.59
11/6/2021,10.59
12/24/2021,10.62
12/24/2021,10.56
1/11/2022,16.67
1/12/2022,17.82
1/13/2022,21.97
1/14/2022,23.36
1/15/2022,20.07
1/16/2022,27.3
1/17/2022,21.71
1/18/2022,18.27
1/19/2022,16.27
2/5/2022,3.95
2/6/2022,13.62
2/7/2022,16.09
2/8/2022,18.45
2/9/2022,15.75
3/10/2022,
3/11/2022,
3/11/2022,
3/30/2022,16.67
3/31/2022,23.9
4/1/2022,
4/2/2022,
5/23/2022,11.11
5/24/2022,22.26
5/25/2022,27.97
5/25/2022,7.25
7/23/2022,-7.17
7/24/2022,-4.95
7/24/2022,-9.91
7/26/2022,-2.7
7/26/2022,-0.77
8/29/2022,1.98
8/30/2022,-3.25
8/31/2022,-0.64
9/1/2022,-0.34
9/2/2022,13.04
9/3/2022,3.31
9/3/2022,2.6
9/25/2022,2.17
9/26/2022,-2.94
9/27/2022,0.33
9/28/2022,0.33
9/29/2022,4.53
9/30/2022,7.02
10/1/2022,1.36
