UTC Date & Time,CP Fuel Cons. Limit
9/2/2021,36
9/3/2021,36
9/4/2021,36
9/5/2021,36
9/6/2021,36
9/7/2021,36
9/8/2021,36
9/9/2021,36
9/10/2021,36
9/26/2021,36
9/27/2021,36
9/28/2021,36
9/29/2021,36
9/30/2021,36
10/1/2021,36
10/2/2021,36
10/3/2021,36
10/3/2021,36
10/15/2021,36
10/16/2021,36
10/17/2021,36
10/18/2021,36
10/19/2021,36
10/20/2021,36
10/21/2021,36
10/22/2021,36
10/23/2021,36
11/8/2021,36
11/9/2021,36
11/10/2021,36
11/11/2021,36
11/12/2021,36
11/14/2021,36
11/15/2021,36
11/27/2021,36
11/27/2021,36
11/29/2021,36
12/1/2021,36
12/3/2021,36
12/4/2021,36
12/5/2021,36
12/6/2021,36
12/7/2021,36
12/8/2021,36
12/10/2021,36
12/11/2021,36
12/11/2021,36
12/28/2021,36
12/29/2021,36
12/30/2021,36
12/31/2021,36
1/1/2022,36
1/1/2022,36
1/3/2022,36
1/4/2022,36
1/5/2022,36
1/5/2022,36
1/23/2022,36
1/24/2022,36
1/25/2022,36
1/26/2022,36
1/27/2022,36
1/27/2022,36
1/28/2022,36
1/29/2022,36
1/30/2022,36
1/31/2022,36
2/17/2022,36
2/17/2022,36
2/19/2022,36
2/20/2022,36
2/21/2022,36
2/22/2022,36
2/23/2022,36
2/24/2022,36
2/25/2022,36
2/26/2022,36
3/2/2022,36
3/3/2022,36
3/3/2022,36
3/16/2022,36
3/17/2022,36
3/18/2022,36
3/21/2022,36
3/22/2022,36
3/23/2022,36
3/24/2022,36
3/24/2022,36
4/16/2022,36
4/17/2022,36
4/18/2022,36
4/19/2022,36
4/20/2022,36
4/21/2022,36
4/22/2022,36
4/23/2022,36
4/24/2022,36
4/25/2022,36
4/26/2022,36
4/27/2022,36
4/27/2022,36
4/29/2022,36
4/30/2022,36
5/1/2022,36
5/2/2022,36
5/3/2022,36
5/4/2022,36
5/5/2022,36
5/6/2022,36
5/7/2022,36
5/8/2022,36
5/9/2022,36
5/10/2022,36
5/11/2022,36
5/12/2022,36
5/12/2022,36
5/17/2022,36
5/18/2022,36
8/1/2022,36
8/2/2022,36
8/3/2022,36
8/4/2022,36
8/5/2022,36
8/6/2022,36
8/7/2022,36
8/8/2022,36
8/9/2022,36
8/10/2022,36
8/11/2022,36
8/12/2022,36
8/13/2022,36
8/14/2022,36
8/15/2022,36
8/16/2022,36
8/17/2022,36
8/18/2022,36
8/19/2022,36
8/20/2022,36
8/21/2022,36
8/22/2022,36
