UTC Date & Time,Speed (KTS)
9/2/2021,11
9/3/2021,10.4
9/4/2021,10.1
9/5/2021,10
9/6/2021,9.2
9/7/2021,9.8
9/8/2021,9.8
9/9/2021,8.8
9/10/2021,10.5
9/26/2021,11.5
9/27/2021,10.4
9/28/2021,10.3
9/29/2021,10.2
9/30/2021,10
10/1/2021,9.6
10/2/2021,10.3
10/3/2021,9.9
10/3/2021,20.3
10/15/2021,10.2
10/16/2021,10
10/17/2021,10.7
10/18/2021,10.3
10/19/2021,10.9
10/20/2021,10.1
10/21/2021,9.9
10/22/2021,9.9
10/23/2021,9.8
11/8/2021,11.5
11/9/2021,11.2
11/10/2021,11.2
11/11/2021,12.5
11/12/2021,9.3
11/14/2021,11.3
11/15/2021,10.6
11/27/2021,10.2
11/27/2021,10
11/29/2021,9.8
12/1/2021,10
12/3/2021,9.3
12/4/2021,9.6
12/5/2021,10
12/6/2021,9
12/7/2021,7.4
12/8/2021,8.3
12/10/2021,10.1
12/11/2021,9.6
12/11/2021,10
12/28/2021,10.3
12/29/2021,9.2
12/30/2021,9.6
12/31/2021,10.4
1/1/2022,10.5
1/1/2022,10.6
1/3/2022,10.3
1/4/2022,9.9
1/5/2022,9.3
1/5/2022,10.8
1/23/2022,9.1
1/24/2022,9
1/25/2022,9.6
1/26/2022,9.9
1/27/2022,9.2
1/27/2022,9.7
1/28/2022,9.3
1/29/2022,9.7
1/30/2022,9.8
1/31/2022,9.2
2/17/2022,9.3
2/17/2022,10
2/19/2022,9.4
2/20/2022,10.3
2/21/2022,9.7
2/22/2022,10
2/23/2022,10
2/24/2022,9.8
2/25/2022,9.6
2/26/2022,9.5
3/2/2022,9
3/3/2022,10
3/3/2022,7.9
3/16/2022,10
3/17/2022,7.9
3/18/2022,7.5
3/21/2022,9.1
3/22/2022,9.6
3/23/2022,8.3
3/24/2022,9.6
3/24/2022,9.7
4/16/2022,9.16
4/17/2022,9.5
4/18/2022,9.5
4/19/2022,9.63
4/20/2022,9.58
4/21/2022,9.4
4/22/2022,9.79
4/23/2022,10.71
4/24/2022,9.88
4/25/2022,8.7
4/26/2022,9.42
4/27/2022,9.65
4/27/2022,10
4/29/2022,9
4/30/2022,9.88
5/1/2022,9.71
5/2/2022,9.71
5/3/2022,8.58
5/4/2022,8.17
5/5/2022,8.04
5/6/2022,8.21
5/7/2022,9.13
5/8/2022,8.08
5/9/2022,7.92
5/10/2022,8.46
5/11/2022,7.71
5/12/2022,7.75
5/12/2022,7.5
5/17/2022,10.63
5/18/2022,9.88
8/1/2022,11.14
8/2/2022,11.4
8/3/2022,10.25
8/4/2022,11.36
8/5/2022,11
8/6/2022,10.96
8/7/2022,11.58
8/8/2022,11
8/9/2022,9.58
8/10/2022,8.58
8/11/2022,10.33
8/12/2022,11.58
8/13/2022,12.13
8/14/2022,12.2
8/15/2022,12.25
8/16/2022,11.17
8/17/2022,10.84
8/18/2022,10.25
8/19/2022,9.43
8/20/2022,10.96
8/21/2022,10.96
8/22/2022,11.04
9/6/2022,11
9/7/2022,11.08
9/8/2022,10.71
9/9/2022,11.04
