UTC Date & Time,Voyage No.,Steaming time (HRS),FW production (MT),FW production /24 
2021-09-02,01 L,0.6,0.3,12
2021-09-03,01 L,24,16.6,16.6
2021-09-04,01 L,24,17.4,17.4
2021-09-05,01 L,24,17.7,17.7
2021-09-06,01 L,24,17.9,17.9
2021-09-07,01 L,24,18.1,18.1
2021-09-08,01 L,24,18.2,18.2
2021-09-09,01 L,24,5.5,5.5
2021-09-10,01 L,21.7,0,0
2021-10-15,03L,5.2,0,0
2021-10-16,03L,24,22,22
2021-10-17,03L,24,25.2,25.2
2021-10-18,03L,23.5,24.7,25.23
2021-10-19,03L,24,25.3,25.3
2021-10-20,03L,24,24.2,24.2
2021-10-21,03L,23,23,24
2021-10-22,03L,24,22.4,22.4
2021-10-23,03L,21.1,5.7,6.48
2021-10-24,03L,24,24.9,24.9
2021-10-25,03L,24,25,25
2021-10-26,03L,24,24,24
2021-10-27,03L,24,25,25
2021-10-27,03L,9,6,16
2021-11-08,04L,4,1.3,7.8
2021-11-09,04L,24,19.7,19.7
2021-11-10,04L,24,21.6,21.6
2021-11-11,04L,24,23.3,23.3
2021-11-12,04L,24,24.3,24.3
2021-11-13,04L,24,24.3,24.3
2021-11-14,04L,24,23.2,23.2
2021-11-15,04L,21.5,5.5,6.14
2021-11-18,04L,22,12,13.09
2021-11-19,04L,25,25,24
2021-11-20,04L,24.5,25,24.49
2021-11-21,04L,19.6,6,7.35
2021-11-27,05L,5.6,0,0
2021-11-27,05L,6,0,0
2021-11-29,05L,18.5,18.8,24.39
2021-11-30,05L,24,25.9,25.9
2021-12-01,05L,23,25,26.09
2021-12-02,05L,24,25,25
2021-12-03,05L,24,26,26
2021-12-04,05L,24,24.2,24.2
2021-12-05,05L,23.5,26,26.55
2021-12-06,05L,24,22,22
2021-12-07,05L,24,10,10
2021-12-08,05L,24,25.5,25.5
2021-12-09,05L,24,25.8,25.8
2021-12-10,05L,24,25.8,25.8
2021-12-11,05L,24,22.7,22.7
2021-12-11,05L,0.5,0,0
2021-12-28,06L,15.6,14.1,21.69
2021-12-29,06L,24,21,21
2021-12-30,06L,24,21,21
2021-12-31,06L,24,24.8,24.8
2022-01-01,06L,24,22.6,22.6
2022-01-01,06L,8.8,7.6,20.73
2022-01-03,06L,21.6,0,0
2022-01-04,06L,24,21.4,21.4
2022-01-05,06L,24,0,0
2022-01-05,06L,1.2,0,0
2022-01-23,07L,20.5,12.12,14.19
2022-01-24,07L,24,24.3,24.3
2022-01-25,07L,24,22.6,22.6
2022-01-26,07L,24,25.1,25.1
2022-01-27,07L,24,24,24
2022-01-27,07L,9.1,8.7,22.95
2022-01-28,07L,4.5,0,0
2022-01-29,07L,24,24.3,24.3
2022-01-30,07L,24,23.4,23.4
2022-01-31,07L,20,0,0
2022-02-17,08 L,9.3,16,41.29
2022-02-17,08 L,3.7,0,0
2022-02-19,08 L,13,11,20.31
2022-02-20,08 L,24,12,12
2022-02-21,08 L,24,19,19
2022-02-22,08 L,24,26,26
2022-02-23,08 L,23,12,12.52
2022-02-24,08 L,24,19,19
2022-02-25,08 L,23.5,25,25.53
2022-02-26,08 L,24,26,26
2022-02-27,08 L,24,17,17
2022-02-28,08 L,24,20,20
2022-03-01,08 L,24,15,15
2022-03-02,08 L,24,16,16
2022-03-03,08 L,24,25,25
2022-03-03,08 L,5.3,0,0
2022-03-16,09L,6,0,0
2022-03-17,09L,24,21,21
2022-03-18,09L,24,23,23
2022-03-19,09L,24,21,21
2022-03-20,09L,24,25,25
2022-03-21,09L,24,22,22
2022-03-22,09L,24,0,0
2022-03-23,09L,24,21,21
2022-03-24,09L,24,16,16
2022-03-24,09L,6,0,0
2022-04-16,10 L,19,0,0
2022-04-17,10 L,24,29,29
2022-04-18,10 L,24,27,27
2022-04-19,10 L,24,24,24
2022-04-20,10 L,19,9,11.37
2022-04-21,10 L,20,18,21.6
2022-04-22,10 L,24,24,24
2022-04-23,10 L,24,20,20
2022-04-24,10 L,24,22,22
2022-04-25,10 L,23,22,22.96
2022-04-26,10 L,24,20,20
2022-04-27,10 L,23,20,20.87
2022-04-27,10 L,1,0,0
2022-04-29,10 L,1,0,0
2022-04-30,10 L,24,0,0
2022-05-01,10 L,24,10,10
2022-05-02,10 L,24,24,24
2022-05-03,10 L,24,20,20
2022-05-04,10 L,24,20,20
2022-05-05,10 L,24,20,20
2022-05-06,10 L,24,22,22
2022-05-07,10 L,24,20,20
2022-05-08,10 L,24,11,11
2022-05-09,10 L,24,18,18
2022-05-10,10 L,24,20,20
2022-05-11,10 L,24,15,15
2022-05-12,10 L,24,23,23
2022-05-12,10 L,8,8,24
2022-05-17,10 L,20.5,9,10.54
2022-05-18,10 L,24,20,20
2022-08-01,11L,7,0,0
2022-08-02,11L,25,12,11.52
2022-08-03,11L,24,0,0
2022-08-04,11L,25,0,0
2022-08-05,11L,24,5,5
2022-08-06,11L,24,20,20
2022-08-07,11L,24,20,20
2022-08-08,11L,24,18,18
2022-08-09,11L,24,20,20
2022-08-10,11L,24,20,20
2022-08-11,11L,24,20,20
2022-08-12,11L,24,20,20
2022-08-13,11L,24,20,20
2022-08-14,11L,25,18,17.28
2022-08-15,11L,24,20,20
2022-08-16,11L,24,18,18
2022-08-17,11L,25,18,17.28
2022-08-18,11L,24,20,20
2022-08-19,11L,24.5,20,19.59
2022-08-20,11L,24,0,0
2022-08-21,11L,24,0,0
2022-08-22,11L,24,0,0
2022-09-06,13L,1,0,0
2022-09-07,13L,24,20,20
2022-09-08,13L,24,20,20
2022-09-09,13L,24,20,20
