UTC Date & Time,Voyage Number,Instructed Speed,CP Fuel Cons. Limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME Total Consumption,Total Consumption VLSFO,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
2021-09-02,01 L,11,36,SS,0.6,11,5.71,4,0.88,1.01,35.2,40.4
2021-09-03,01 L,11,36,SS,24,10.38,16.72,4,31.71,36.41,31.71,36.41
2021-09-04,01 L,11,36,SS,24,10.08,18.52,4,32.24,36.79,32.24,36.79
2021-09-05,01 L,11,36,SS,24,9.96,19.53,4,32.1,36.8,32.1,36.8
2021-09-06,01 L,11,36,SS,24,9.17,25.93,4,32.24,36.56,32.24,36.56
2021-09-07,01 L,11,36,SS,24,9.83,22.11,4,33,36.85,33,36.85
2021-09-08,01 L,11,36,SS,24,9.75,22,4,33,36.15,33,36.15
2021-09-09,01 L,11,36,SS,24,8.83,25.61,4,32.67,36.52,32.67,36.52
2021-09-10,01 L,11,36,SS,21.7,10.51,17.09,4,30.1,33.86,33.29,37.45
2021-10-15,03L,11,36,SS,5.2,10.19,28.38,4,7.5,8.63,34.62,39.83
2021-10-16,03L,11,36,SS,24,10.04,29.74,3,32.84,35.98,32.84,35.98
2021-10-17,03L,11,36,SS,24,10.71,24.85,3,32.68,35.93,32.68,35.93
2021-10-18,03L,11,36,SS,23.5,10.34,28.95,4,32.89,36.03,33.59,36.8
2021-10-19,03L,11,36,SS,24,10.88,25.64,4,32.74,36.1,32.74,36.1
2021-10-20,03L,11,36,SS,24,10.08,31.25,4,33.1,36.13,33.1,36.13
2021-10-21,03L,11,36,SS,23,9.87,32.04,4,32.59,36.18,34.01,37.75
2021-10-22,03L,11,36,SS,24,9.88,24.76,4,32.16,36.06,32.16,36.06
2021-10-23,03L,11,36,SS,21.1,9.76,28.22,4,32.01,35.21,36.41,40.05
2021-10-24,03L,11,36,SS,24,8.67,32.9,5,32.1,35.6,32.1,35.6
2021-10-25,03L,11,36,SS,24,9.08,29.9,5,32.31,35.31,32.31,35.31
2021-10-26,03L,11,36,SS,24,9.88,24.04,5,32.19,35.29,32.19,35.29
2021-10-27,03L,11,36,SS,24,10.25,21.15,5,32.37,35.37,32.37,35.37
2021-10-27,03L,11,36,SS,9,8.33,36.44,5,13.5,14.55,36,38.8
2021-11-08,04L,11,36,SS,4,11.5,9.8,4,5.42,5.89,32.52,35.34
2021-11-09,04L,11,36,SS,24,11.21,14.87,4,32.76,35.56,32.76,35.56
2021-11-10,04L,11,36,SS,24,11.21,16.2,4,32.68,35.78,32.68,35.78
2021-11-11,04L,11,36,SS,24,12.5,7.12,4,32.56,35.66,32.56,35.66
2021-11-12,04L,11,36,SS,24,9.25,31.27,6,32.61,35.75,32.61,35.75
2021-11-13,04L,11,36,SS,24,10.83,19.5,5,32.72,35.72,32.72,35.72
2021-11-14,04L,11,36,SS,24,11.29,16.1,4,32.73,35.53,32.73,35.53
2021-11-15,04L,11,36,SS,21.5,10.6,21.11,4,30.35,32.86,33.88,36.68
2021-11-18,04L,11,36,SS,22,11.86,9.06,3,29.8,33.04,32.51,36.04
2021-11-19,04L,11,36,SS,25,11.76,10.91,3,31.2,35.5,29.95,34.08
2021-11-20,04L,11,36,SS,24.5,11.76,10.56,3,31.36,35.56,30.72,34.83
2021-11-21,04L,11,36,SS,19.6,11.63,10.59,6,29.17,31.91,35.72,39.07
2021-11-27,05L,11,36,SS,5.6,10.18,21.92,3,7.29,7.76,31.24,33.26
2021-11-27,05L,11,36,SS,6,10,25,3,8.99,9.69,35.96,38.76
2021-11-29,05L,11,36,SS,18.5,9.84,26.91,4,31.12,34.08,40.37,44.21
2021-11-30,05L,11,36,SS,24,9.83,24.36,5,31.95,35.57,31.95,35.57
2021-12-01,05L,11,36,SS,23,10.04,23,4,32.67,35.77,34.09,37.33
2021-12-02,05L,11,36,SS,24,8.71,33.44,5,32.49,36,32.49,36
2021-12-03,05L,11,36,SS,24,9.33,29.11,4,31.96,35.57,31.96,35.57
2021-12-04,05L,11,36,SS,24,9.58,26.28,3,31.89,35.4,31.89,35.4
2021-12-05,05L,11,36,SS,23.5,10.04,23.87,3,32.26,35.44,32.95,36.19
2021-12-06,05L,11,36,SS,24,9,31.65,3,32.38,35.48,32.38,35.48
2021-12-07,05L,11,36,SS,24,7.42,41.25,3,32.44,35.68,32.44,35.68
2021-12-08,05L,11,36,SS,24,8.33,36.51,4,32.16,35.54,32.16,35.54
2021-12-09,05L,11,36,SS,24,10.42,20.89,4,32.1,35.51,32.1,35.51
2021-12-10,05L,11,36,SS,24,10.08,23.42,4,32.24,35.55,32.24,35.55
2021-12-11,05L,11,36,SS,24,9.58,27.44,4,32.16,35.44,32.16,35.44
2021-12-11,05L,11,36,SS,0.5,10,37.5,4,1.23,1.29,59.04,61.92
2021-12-28,06L,11,36,SS,15.6,10.26,18.37,4,20.8,22.62,32,34.8
2021-12-29,06L,11,36,SS,24,9.17,29.71,3,30.8,35,30.8,35
2021-12-30,06L,11,36,SS,24,9.63,25.72,3,31.14,35.04,31.14,35.04
2021-12-31,06L,11,36,SS,24,10.42,18.57,3,31.18,35.08,31.18,35.08
2022-01-01,06L,11,36,SS,24,10.5,18.18,3,31.19,35.2,31.19,35.2
2022-01-01,06L,11,36,SS,8.8,10.57,17.7,3,10.66,12.39,29.07,33.79
2022-01-03,06L,11,36,SS,21.6,10.28,19.57,4,26.25,28.77,29.17,31.97
2022-01-04,06L,11,36,SS,24,9.92,22.48,3,31.75,35.25,31.75,35.25
2022-01-05,06L,11,36,SS,24,9.25,28.39,3,31.5,35.3,31.5,35.3
2022-01-05,06L,11,36,SS,1.2,10.83,13.33,3,1.81,2.12,36.2,42.4
2022-01-23,07L,11,36,SS,20.5,9.12,24.9,3,24.2,27.59,28.33,32.3
2022-01-24,07L,11,36,SS,24,9,28.95,3,31.5,34.85,31.5,34.85
2022-01-25,07L,11,36,SS,24,9.63,23.51,3,31.2,35,31.2,35
2022-01-26,07L,11,36,SS,24,9.92,21.45,3,31,34.9,31,34.9
2022-01-27,07L,11,36,SS,24,9.17,27.15,3,31.45,34.85,31.45,34.85
2022-01-27,07L,11,36,SS,9.1,9.67,23.48,3,12,12.92,31.65,34.07
2022-01-28,07L,11,36,SS,4.5,9.33,26.32,3,5.33,5.96,28.43,31.79
2022-01-29,07L,11,36,SS,24,9.67,22.92,3,31.8,34.9,31.8,34.9
2022-01-30,07L,11,36,SS,24,9.83,21.85,3,31.5,35,31.5,35
2022-01-31,07L,11,36,SS,20,9.2,26.69,3,26.6,28.8,31.92,34.56
2022-02-17,08 L,11,36,SS,9.3,9.25,-3.61,3,9.3,11.9,24,30.71
2022-02-17,08 L,11,36,SS,3.7,10,19.57,3,5.43,5.73,35.22,37.17
2022-02-19,08 L,11,36,SS,13,9.38,24.22,3,18.4,19.5,33.97,36
2022-02-20,08 L,11,36,SS,24,10.29,19.28,3,32.2,35,32.2,35
2022-02-21,08 L,11,36,SS,24,9.67,23.93,3,32.2,35,32.2,35
2022-02-22,08 L,11,36,SS,24,10.04,20.98,3,32.2,35.08,32.2,35.08
2022-02-23,08 L,11,36,SS,23,10.04,22.22,4,29.9,32.6,31.2,34.02
2022-02-24,08 L,11,36,SS,24,9.83,22.11,4,32.2,35,32.2,35
2022-02-25,08 L,11,36,SS,23.5,9.57,23.47,4,31.5,34.2,32.17,34.93
2022-02-26,08 L,11,36,SS,24,9.5,26.21,4,32.2,35.2,32.2,35.2
2022-02-27,08 L,11,36,SS,24,7.46,19.73,5,30.1,32.9,30.1,32.9
2022-02-28,08 L,11,36,SS,24,8.88,29,5,32.2,35,32.2,35
2022-03-01,08 L,11,36,SS,24,8.79,30.82,5,32.2,35,32.2,35
2022-03-02,08 L,11,36,SS,24,9,28.71,4,30.4,33.2,30.4,33.2
